,filename,x1,y1,x2,y2
0,./20C_A_A2_6_0.png,72,218,198,368
1,./20C_A_A2_6_1.png,314,144,440,294
2,./20C_A_A2_6_2.png,72,218,198,368
3,./20C_A_A2_6_3.png,105.3927536,164.3260193,208.5259705,287.1036682
4,./20C_A_A2_6_4.png,29.96894073,118.4158783,184.7510834,302.6803284
5,./20C_A_A2_7_0.png,72,218,198,368
6,./20C_A_A2_7_1.png,319.6557007,214.2945251,457.9422302,378.9213562
7,./20C_A_A2_7_2.png,314.9299927,142.2041321,442.9503479,294.609314
8,./20C_A_A2_7_3.png,314,218,440,368
9,./20C_A_A2_7_4.png,326.1011658,210.07164,478.3899231,391.3677979
10,./20C_A_A2_8_0.png,72,144,198,294
11,./20C_A_A2_8_1.png,314,218,440,368
12,./20C_A_A2_8_2.png,314,144,440,294
13,./20C_A_A2_8_3.png,308.5245361,154.5733032,422.6295776,290.4126282
14,./20C_A_A2_8_4.png,314,218,440,368
15,./20C_A_A2_12_0.png,319.5223389,133.3361816,457.5191345,297.6180725
16,./20C_A_A2_12_1.png,314,144,440,294
17,./20C_A_A2_12_2.png,40.49068451,124.8204193,188.0677185,300.5073547
18,./20C_A_A2_12_3.png,319.3152771,133.7360077,456.8622742,297.4824219
19,./20C_A_A2_12_4.png,313.4836731,218.3382874,438.361969,367.0029449
20,./20C_A_A2_14_0.png,72,218,198,368
21,./20C_A_A2_14_1.png,72,144,198,294
22,./20C_A_A2_14_2.png,314,144,440,294
23,./20C_A_A2_14_3.png,72,144,198,294
24,./20C_A_A2_14_4.png,314,218,440,368
25,./20C_A_A2_18_0.png,61.39370728,215.8095703,194.6567078,374.4560089
26,./20C_A_A2_18_1.png,314,144,440,294
27,./20C_A_A2_18_2.png,313.742157,144.4979248,439.1819763,293.8310547
28,./20C_A_A2_18_3.png,72,144,198,294
29,./20C_A_A2_18_4.png,110.1314087,225.8749695,210.0196838,344.789566
30,./20C_A_A2_20_0.png,48.04361343,129.4178467,190.4485321,298.9475098
31,./20C_A_A2_20_1.png,42.61650848,211.9316711,188.7378082,385.8856049
32,./20C_A_A2_20_2.png,96.00354004,222.9572449,205.5663452,353.3891602
33,./20C_A_A2_20_3.png,29.32546997,118.0242004,184.5482483,302.8132324
34,./20C_A_A2_20_4.png,314,144,440,294
35,./20C_A_A2_21_0.png,306.3471375,158.7779083,415.7219849,288.9860535
36,./20C_A_A2_21_1.png,311.2345276,149.3401947,431.2268066,292.1881409
37,./20C_A_A2_21_2.png,301.6738586,167.8022003,400.8963623,285.9242554
38,./20C_A_A2_21_3.png,41.68896484,211.7401123,188.4454346,386.4501953
39,./20C_A_A2_21_4.png,314,144,440,294
40,./20C_A_A2_22_0.png,314,218,440,368
41,./20C_A_A2_22_1.png,58.00576782,215.1098938,193.5887756,376.518219
42,./20C_A_A2_22_2.png,305.8256836,223.3555908,414.0677185,352.2151337
43,./20C_A_A2_22_3.png,100.8933411,161.5872498,207.107666,288.0328979
44,./20C_A_A2_22_4.png,31.07154465,119.0870285,185.0986328,302.4526062
45,./20C_A_A2_23_0.png,72,218,198,368
46,./20C_A_A2_23_1.png,327.4636841,209.1789551,482.7124023,393.998848
47,./20C_A_A2_23_2.png,31.51139641,119.3547668,185.2372894,302.3617859
48,./20C_A_A2_23_3.png,314,218,440,368
49,./20C_A_A2_23_4.png,39.74578857,124.3670044,187.8329163,300.6611938
50,./20C_A_A2_74_0.png,74,144,200,294
51,./20C_A_A2_74_1.png,304.3015442,159.3969269,412.980011,288.7760315
52,./20C_A_A2_74_2.png,87.32743073,220.7826538,204.1007538,359.7984924
53,./20C_A_A2_74_3.png,78.04342651,146.488266,201.2441406,293.1557617
54,./20C_A_A2_74_4.png,74,218,200,368
55,./20C_A_A2_77_0.png,325.486969,117.0260468,481.8326721,303.151886
56,./20C_A_A2_77_1.png,32.65393448,118.5562668,187.2781372,302.6326904
57,./20C_A_A2_77_2.png,46.42733765,127.0322037,191.5161133,299.7569275
58,./20C_A_A2_77_3.png,312,144,438,294
59,./20C_A_A2_77_4.png,78.22592926,218.8823395,201.300293,365.3994141
60,./20C_A_A2_78_0.png,80.63128662,146.8816833,203.3893738,293.0222778
61,./20C_A_A2_78_1.png,76,144,202,294
62,./20C_A_A2_78_2.png,310,218,436,368
63,./20C_A_A2_78_3.png,66.08306885,137.8294525,199.0249023,296.0935669
64,./20C_A_A2_78_4.png,298.1267395,168.6260223,396.4224854,285.6447449
65,./20C_A_A2_79_0.png,74,218,200,368
66,./20C_A_A2_79_1.png,312,218,438,368
67,./20C_A_A2_79_2.png,322.7659607,122.4680786,472.9893799,301.305481
68,./20C_A_A2_79_3.png,74,218,200,368
69,./20C_A_A2_79_4.png,312,218,438,368
70,./20C_A_A2_80_0.png,312,218,438,368
71,./20C_A_A2_80_1.png,312,218,438,368
72,./20C_A_A2_80_2.png,74,218,200,368
73,./20C_A_A2_80_3.png,74,218,200,368
